title,original_title,year,genre,duration,country,language,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
"Unico indizio la luna piena","Silver Bullet",1985,1,95,2,1,6.4,23233,7000000,12361866,12361866,26,164,119
"Silverado","Silverado",1985,3,133,1,1,7.2,37166,26000000,32192570,32192570,64,186,58
"La prima volta","Smooth Talk",1985,3,92,2,1,6.2,1664,2400000,16785,16785,74,33,18
"Spie come noi","Spies Like Us",1985,2,102,1,2,6.5,43314,22000000,60088980,60088980,22,88,38
"St. Elmo's Fire","St. Elmo's Fire",1985,2,110,1,1,6.4,35229,10000000,37803872,37803872,35,170,45
"Scherzare col fuoco","Stick",1985,3,109,1,1,5.8,1846,22000000,8489518,8489518,31,25,20
"Sacco a pelo a tre piazze","The Sure Thing",1985,3,100,1,1,7,18895,4500000,18135531,18135531,76,79,56
"Target - Scuola omicidi","Target",1985,3,117,1,3,6,3873,13000000,9023199,9023199,53,34,10
"Vivere e morire a Los Angeles","To Live and Die in L.A.",1985,3,116,1,3,7.3,28460,6000000,17307019,17307019,81,249,115
"Una notte in Transilvania","Transylvania 6-5000",1985,3,93,2,1,5,6543,3000000,7196872,7196872,10,67,40
"Due volte nella vita","Twice in a Lifetime",1985,2,111,1,1,6.5,906,8000000,8402424,8402424,58,14,11
"007 - Bersaglio mobile","A View to a Kill",1985,3,131,1,2,6.4,86238,30000000,50327960,50327960,40,355,97
"La donna esplosiva","Weird Science",1985,3,94,1,1,6.6,78335,7500000,23834048,38934048,46,178,91
"Spiritika","Witchboard",1986,3,98,2,1,5.7,6029,2000000,7369373,7369373,45,80,78
"Witness - Il testimone","Witness",1985,3,112,1,2,7.4,84424,12000000,68706993,68706993,76,215,102
"L'anno del dragone","Year of the Dragon",1985,3,134,1,5,6.9,13677,24000000,18707466,18707466,58,84,67
"Piramide di paura","Young Sherlock Holmes",1985,3,109,1,1,6.8,18801,18000000,19739575,19739575,65,103,78
"Mr. Crocodile Dundee","'Crocodile' Dundee",1986,3,97,1,1,6.6,91006,8800000,174803506,328203506,62,124,44
"8 milioni di modi per morire","8 Million Ways to Die",1986,3,115,1,2,5.8,4362,18000000,1305114,1305114,29,43,43
"A proposito della notte scorsa...","About Last Night...",1986,3,113,1,1,6.3,14089,8500000,38702310,38702310,70,88,44
"Aliens - Scontro finale","Aliens",1986,3,137,2,1,8.3,639500,18500000,85160248,131384634,84,1302,310
"Pesce d'Aprile","April Fool's Day",1986,2,89,2,1,6.2,13875,5000000,12947763,12947763,49,154,116
"Pazzi da legare","Armed and Dangerous",1986,3,88,1,1,5.7,10493,12000000,15945534,15945534,17,39,16
"A distanza ravvicinata","At Close Range",1986,2,111,1,1,7,13871,6500000,2347000,2347000,67,106,44
"A scuola con papà","Back to School",1986,3,96,1,1,6.7,27366,11000000,91258000,91258000,68,90,32
"I 5 della squadra d'assalto","Band of the Hand",1986,3,109,1,1,6.3,2659,8700000,4865912,4865912,34,24,26
"Tempi migliori","The Best of Times",1986,3,104,1,1,6,6498,12000000,7790931,7817314,57,47,21
"Grosso guaio a Chinatown","Big Trouble in Little China",1986,3,99,1,2,7.3,120764,25000000,11100000,11100374,53,397,223
"La vedova nera","Black Widow",1987,3,102,1,1,6.3,8498,10500000,25205460,25205460,70,69,39
"Blue City","Blue City",1986,3,83,1,1,4.4,988,10000000,6947787,6947787,18,15,16
"Velluto blu","Blue Velvet",1986,3,120,1,1,7.7,176459,6000000,8551228,8617408,76,755,227
"Ricordi di Brighton Beach","Brighton Beach Memoirs",1986,1,108,1,1,6.8,3184,18000000,11957943,11957943,54,22,12
"Figli di un dio minore","Children of a Lesser God",1986,2,119,1,2,7.2,14652,10500000,31853080,31853080,80,72,32
"Cro Magnon odissea nella preistoria","The Clan of the Cave Bear",1986,3,98,2,1,5.4,5977,15000000,1953732,1953732,34,69,22
"Club Paradise","Club Paradise",1986,1,96,1,1,5.1,5773,15000000,12308521,12308521,40,43,13
"Cobra","Cobra",1986,3,87,2,1,5.8,66141,25000000,49042224,49042224,25,277,108
"Il colore dei soldi","The Color of Money",1986,2,119,1,2,7,72856,13800000,52293982,52293982,77,141,68
"Critters - Gli extraroditori","Critters",1986,3,86,1,1,6.1,30450,2000000,13167232,13167232,52,135,101
"Delta Force","The Delta Force",1986,3,125,2,4,5.6,18449,12000000,17768900,17768900,37,152,73
"Su e giù per Beverly Hills","Down and Out in Beverly Hills",1986,1,103,1,1,6.2,15285,14000000,62134225,62134225,82,51,25
"Daunbailò","Down by Law",1986,3,107,2,3,7.8,46878,1100000,1435668,1504286,75,112,82
"Una pazza giornata di vacanza","Ferris Bueller's Day Off",1986,1,103,1,2,7.8,313852,6000000,70136369,70712677,61,593,137
"Il tempio di fuoco","Firewalker",1986,3,105,1,3,5.2,5843,8000000,11949484,11949484,37,49,42
"Navigator","Flight of the Navigator",1986,3,90,1,1,6.9,43387,9000000,18564613,18564613,64,127,85
"La mosca","The Fly",1986,3,96,3,1,7.6,155577,15000000,40456565,60632088,79,341,177
"Venerdì 13: parte VI - Jason vive","Friday the 13th Part VI: Jason Lives",1986,2,86,1,1,6,37201,3000000,19472057,19472057,30,342,189
"Il bambino d'oro","The Golden Child",1986,3,94,1,1,6,50186,25000000,79817937,79817937,37,87,35
"Basil l'investigatopo","The Great Mouse Detective",1986,3,74,1,4,7.2,43815,14000000,38625550,38625550,73,125,72
"Gung Ho - Arrivano i giapponesi","Gung Ho",1986,2,112,1,1,6.3,11438,18000000,36611610,36611610,48,58,12
"Hannah e le sue sorelle","Hannah and Her Sisters",1986,2,107,1,1,7.9,65794,6400000,40084041,40084041,90,187,82
"Gunny","Heartbreak Ridge",1986,2,130,1,2,6.9,38809,15000000,42724017,42724017,53,136,38
"Heartburn - Affari di cuore","Heartburn",1986,2,108,1,1,6.1,9261,20000000,25314189,25314189,49,54,18
"Highlander - L'ultimo immortale","Highlander",1986,3,116,1,1,7.1,119188,16000000,5900000,5900000,24,373,119
"The Hitcher - La lunga strada della paura","The Hitcher",1986,2,97,1,2,7.2,42657,6000000,5844868,5844868,32,268,110
"Colpo vincente","Hoosiers",1986,2,114,2,1,7.5,42163,6000000,28607524,28607524,76,149,58
"Chi è sepolto in quella casa?","House",1985,3,93,1,1,6.2,22614,3000000,19444631,19444631,44,147,117
"Howard e il destino del mondo","Howard the Duck",1986,3,110,1,1,4.7,42311,37000000,16295774,37962774,28,332,109
"Invaders","Invaders from Mars",1986,2,100,1,1,5.6,7699,12000000,4884663,4884663,56,82,68
"Born American","Born American",1986,3,97,2,1,4.1,1762,3401376,3388020,3388020,35,20,8
"King Kong 2","King Kong Lives",1986,2,105,1,1,3.9,5268,10000000,4711220,4711220,32,69,47
"Labyrinth - Dove tutto è possibile","Labyrinth",1986,3,101,2,1,7.4,121281,25000000,13723253,13907620,50,555,147
"Lady Jane","Lady Jane",1986,3,136,1,2,7.1,6033,8500000,277646,277646,64,59,14
"Pericolosamente insieme","Legal Eagles",1986,3,116,1,1,6,9867,40000000,49851591,93151591,57,39,21
"La piccola bottega degli orrori","Little Shop of Horrors",1986,3,94,1,1,7,63797,25000000,38982260,38982260,81,195,84
"Lucas","Lucas",1986,3,100,1,1,6.9,14356,6000000,8200000,8200000,75,66,23
"Gioco mortale","The Manhattan Project",1986,2,117,1,1,6.2,5324,18000000,3900000,3900000,61,45,26
"Manhunter - Frammenti di un omicidio","Manhunter",1986,3,120,1,1,7.2,64207,15000000,8620929,8620929,75,503,156
"Brivido","Maximum Overdrive",1986,3,98,1,1,5.5,29306,10000000,7433663,7433663,24,232,111
"Mission","The Mission",1986,3,125,2,4,7.4,54785,24500000,17218023,17502499,55,219,65
"Casa, dolce casa?","The Money Pit",1986,1,91,1,5,6.4,50889,10000000,37499651,54999651,49,131,41
"Mosquito Coast","The Mosquito Coast",1986,3,117,1,2,6.6,26023,25000000,14302779,14302779,49,106,37
"Dimensione terrore","Night of the Creeps",1986,3,88,1,1,6.8,20145,5000000,591366,591366,62,152,178
"9 settimane e 1/2","Nine 1/2 Weeks",1986,2,117,1,2,6,36670,17000000,6735922,6735922,50,133,49
"Nessuna pietà","No Mercy",1986,3,106,1,2,5.7,6668,14000000,12303904,12303904,54,28,14
"Peggy Sue si è sposata","Peggy Sue Got Married",1986,3,103,1,1,6.3,32089,18000000,41382841,41488348,74,115,51
"Pirati","Pirates",1986,3,121,2,3,6.1,7755,40000000,1641825,1641825,32,49,22
"Platoon","Platoon",1986,2,120,2,2,8.1,373386,6000000,138530565,138545632,92,607,138
"Poltergeist II - L'altra dimensione","Poltergeist II: The Other Side",1986,1,91,1,1,5.7,24282,19000000,40996665,40996665,49,133,90
"Power - Potere","Power",1986,1,111,1,3,5.7,2658,16000000,3800000,3800000,50,18,10
"Bella in rosa","Pretty in Pink",1986,3,97,1,1,6.8,72868,9000000,40471663,40471663,57,179,86
"Codice Magnum","Raw Deal",1986,3,106,2,1,5.6,30034,8500000,16209459,16209459,44,116,36
"I ragazzi del fiume","River's Edge",1986,2,99,1,1,7,15469,1900000,4600000,4600000,73,131,51
"Camera con vista","A Room with a View",1985,2,117,1,2,7.3,38619,3000000,20966644,21040317,83,112,66
"Per favore, ammazzatemi mia moglie","Ruthless People",1986,2,93,1,1,6.9,25348,13000000,71624879,71624879,78,85,33
"Salvador","Salvador",1986,3,122,3,2,7.4,18885,4500000,1500000,1500000,69,103,58
"Shanghai Surprise","Shanghai Surprise",1986,3,97,1,1,3.2,4912,17000000,2315683,2315683,16,34,25
"Lola Darling","She's Gotta Have It",1986,2,84,1,1,6.7,11071,175000,7137502,7137502,79,39,46
"Corto circuito","Short Circuit",1986,3,98,1,1,6.7,55783,9000000,40697761,40697761,50,113,52
"Sid e Nancy","Sid and Nancy",1986,3,112,1,1,7,29002,4000000,2826523,2850707,76,142,92
"I guerrieri del sole","Solarbabies",1986,3,94,1,1,4.8,3930,25000000,1579260,1579260,24,53,53
"Space Camp - Gravità zero","SpaceCamp",1986,3,107,1,1,5.7,12823,18000000,9697739,9697739,40,63,24
"Stand by Me - Ricordo di un'estate","Stand by Me",1986,2,89,1,1,8.1,355780,8000000,52287414,52287414,75,696,132
"Rotta verso la Terra","Star Trek IV: The Voyage Home",1986,3,119,1,2,7.3,77203,25000000,109713132,109713132,71,249,92
"Non aprite quella porta - Parte 2","The Texas Chainsaw Massacre 2",1986,2,101,1,1,5.6,26948,4700000,8025872,8025872,42,285,151
"I tre amigos!","¡Three Amigos!",1986,2,104,1,3,6.5,66674,25000000,39246734,39246734,52,156,58
"Top Gun","Top Gun",1986,2,110,1,1,6.9,287577,15000000,179800601,356830601,50,497,196
"Due tipi incorreggibili","Tough Guys",1986,2,104,1,1,6.3,6456,10000000,21458229,21458229,54,33,20
"Troll","Troll",1986,3,82,2,1,4.5,9048,1100000,5450815,5450815,30,124,81
"Cadaveri & compari","Wise Guys",1986,2,100,1,2,5.7,5243,13000000,8475466,8475466,62,35,22
"Il replicante","The Wraith",1986,3,93,2,1,6,14351,2700000,3500000,3500000,39,123,95
"Mr. Crocodile Dundee II","'Crocodile' Dundee II",1988,3,108,1,3,5.6,52541,14000000,109306210,239606210,41,80,34
"Miracolo sull'8ª strada","*batteries not included",1987,3,106,1,2,6.7,30793,25000000,32945797,65088797,54,80,23
"Tutto quella notte","Adventures in Babysitting",1987,3,102,1,1,6.9,36946,7000000,34368475,34368475,45,148,56
"Guerriero americano 2","American Ninja 2: The Confrontation",1987,2,90,2,1,4.9,7878,350000,4000000,4000000,39,55,62
"Angel Heart - Ascensore per l'inferno","Angel Heart",1987,3,113,3,2,7.3,78672,17000000,17185632,17185632,61,265,143
"Barfly - Moscone da bar","Barfly",1987,3,100,1,1,7.2,18337,3000000,3221568,3221568,70,93,68
"La finestra della camera da letto","The Bedroom Window",1987,3,112,1,1,6.4,4645,8300000,12640385,12640385,45,38,26
"The believers: I credenti del male","The Believers",1987,3,114,3,1,6.1,6085,13000000,18753438,18753438,40,52,62
"Beverly Hills Cop II - Un piedipiatti a Beverly Hills II","Beverly Hills Cop II",1987,3,100,1,1,6.5,104997,28000000,153665036,299965036,48,116,61
"Appuntamento al buio","Blind Date",1987,2,95,1,1,6,20427,18000000,39321715,39337581,49,57,41
"Senza esclusione di colpi","Bloodsport",1988,3,92,1,1,6.8,74908,1100000,11806119,11806119,29,255,90
"Dentro la notizia","Broadcast News",1987,3,133,1,4,7.2,26257,20000000,51249404,67331309,84,142,62
"Creepshow 2","Creepshow 2",1987,2,92,1,1,6.1,21923,3500000,14000000,14000000,39,137,126
"Grido di libertà","Cry Freedom",1987,3,157,1,1,7.4,12218,29000000,5899797,5899797,59,57,25
"Il giustiziere della notte 4","Death Wish 4: The Crackdown",1987,3,99,1,1,5.5,8646,5000000,6880310,6880310,46,104,63
"Dirty Dancing - Balli proibiti","Dirty Dancing",1987,3,100,1,1,7,197346,6000000,64577242,217856315,65,466,111
"La retata","Dragnet",1987,2,106,1,1,6,31238,20000000,57387516,66673516,62,95,45
"L'impero del sole","Empire of the Sun",1987,3,153,1,4,7.7,113212,35000000,22238696,22238696,62,349,64
"Ernesto guai in campeggio","Ernest Goes to Camp",1987,2,92,1,1,5.5,10673,3000000,23509382,23509382,24,50,13
"La casa 2","Evil Dead II",1987,3,84,1,2,7.8,144650,3600000,5923044,5923044,72,596,292
"Ricercati: ufficialmente morti","Extreme Prejudice",1987,3,96,1,2,6.7,6016,22000000,11307844,11307844,51,60,61
"Attrazione fatale","Fatal Attraction",1987,2,119,1,1,6.9,74368,14000000,156645693,320145693,67,247,104
"Quarto protocollo","The Fourth Protocol",1987,1,119,1,1,6.6,8686,6000000,12423831,12423831,64,35,16
"Full Metal Jacket","Full Metal Jacket",1987,2,116,2,2,8.3,658175,30000000,46357676,46357676,76,850,158
"Good Morning, Vietnam","Good Morning, Vietnam",1987,3,121,1,1,7.3,123551,13000000,123922370,123922370,67,157,69
"Bigfoot e i suoi amici","Harry and the Hendersons",1987,3,110,1,1,6,30666,10000000,29760613,49998613,42,52,29
"Hellraiser","Hellraiser",1987,2,94,1,1,7,100548,1000000,14564027,14575193,57,409,267
"Hiding Out","Hiding Out",1987,3,98,1,1,6.5,3195,7000000,7019441,7019441,47,30,15
"Hollywood Shuffle","Hollywood Shuffle",1987,1,78,1,1,7,4866,100000,5228617,5228617,74,40,21
"Salto nel buio","Innerspace",1987,3,120,1,1,6.8,53141,27000000,25893810,25893810,66,95,79
"Ironweed","Ironweed",1987,1,143,1,1,6.7,8227,27000000,7393346,7393346,56,50,30
"Ishtar","Ishtar",1987,3,107,1,1,4.4,10110,55000000,14375181,14375181,52,148,54
"Lo squalo 4 - La vendetta","Jaws: The Revenge",1987,3,89,1,1,3,40392,23000000,20763013,51881013,15,447,102
"La Bamba","La Bamba",1987,3,108,1,2,6.9,27891,6500000,54215416,54215416,65,81,26
"Arma letale","Lethal Weapon",1987,3,109,1,1,7.6,232381,15000000,65207127,120207127,68,321,139
"007 - Zona pericolo","The Living Daylights",1987,3,130,1,9,6.7,86829,40000000,51185897,51185897,60,319,103
"Mannequin","Mannequin",1987,3,90,1,1,5.9,28546,6000000,42721196,42721196,21,122,31
"I dominatori dell'universo","Masters of the Universe",1987,3,106,2,1,5.4,36115,22000000,17336370,17336370,35,216,113
"Scuola di mostri","The Monster Squad",1987,3,79,1,2,7.1,27232,12000000,3769990,3769990,61,175,113
"Stregata dalla luna","Moonstruck",1987,3,102,1,3,7.1,48440,15000000,80640528,80640528,83,169,82
"Il buio si avvicina","Near Dark",1987,3,94,1,1,7,32855,5000000,3369307,3369307,76,237,200
"Nightmare 3 - I guerrieri del sogno","A Nightmare on Elm Street 3: Dream Warriors",1987,2,96,1,1,6.6,68794,4500000,44793222,44793222,49,354,118
"La fine del gioco","No Man's Land",1987,3,107,1,1,6.1,4140,8000000,2877571,2877571,52,27,18
"Senza via di scampo","No Way Out",1987,3,114,1,2,7.1,34513,15000000,35509515,35509515,77,125,72
"Over the Top","Over the Top",1987,3,93,1,1,5.8,49281,25000000,16057580,16057580,40,155,47
"Ehi... ci stai?","The Pick-up Artist",1987,3,81,1,1,5.3,6339,15000000,13290368,13290368,47,31,14
"Un biglietto in due","Planes, Trains & Automobiles",1987,2,93,1,1,7.6,119337,30000000,49530280,49530280,72,422,110
"Predator","Predator",1987,3,107,2,3,7.8,364725,15000000,59735548,98399956,45,795,268
"Il signore del male","Prince of Darkness",1987,1,102,1,2,6.7,36120,3000000,14182492,14182492,50,262,193
"La storia fantastica","The Princess Bride",1987,3,98,1,1,8.1,385237,16000000,30857814,30882762,77,859,218
"The Principal - Una classe violenta","The Principal",1987,3,109,1,1,6.3,8704,11000000,19734940,19734940,37,59,16
"Fuga dal futuro - Danger Zone","Project X",1987,3,108,1,2,6.1,9991,18000000,18532286,21589395,61,36,19
"Radio Days","Radio Days",1987,1,88,1,3,7.5,30903,16000000,14792779,14792779,74,107,64
"Arizona Junior","Raising Arizona",1987,2,94,1,1,7.3,124392,6000000,22847564,29180280,68,314,75
"RoboCop","RoboCop",1987,3,102,1,1,7.5,228279,13000000,53424681,53424681,67,537,276
"Roxanne","Roxanne",1987,2,107,1,1,6.6,40058,12000000,40050884,40050884,73,95,59
"L'implacabile","The Running Man",1987,3,101,1,1,6.7,138785,27000000,38122105,38122105,45,275,151
"Il segreto del mio successo","The Secret of My Success",1987,2,111,1,1,6.5,28946,12000000,66995879,110996879,36,90,34
"Slamdance - Il delitto di mezzanotte","Slam Dance",1987,2,92,2,1,5.3,1323,4500000,406881,406881,48,10,11
"Chi protegge il testimone","Someone to Watch Over Me",1987,3,106,1,1,6.1,9217,17000000,10278549,10278549,55,52,31
"Balle spaziali","Spaceballs",1987,3,96,1,1,7.1,168749,22700000,38119483,38119483,46,326,114
"Alba d'acciaio","Steel Dawn",1987,3,101,1,1,5.2,4535,3520000,562187,562187,24,41,45
"Street Smart - Per le strade di New York","Street Smart",1987,3,97,2,1,6.4,2700,5000000,1119112,1119112,70,29,24
"Superman IV","Superman IV: The Quest for Peace",1987,3,90,2,4,3.7,42146,17000000,15681020,15681020,24,289,112
"Voglia di vincere 2","Teen Wolf Too",1987,2,95,1,1,3.4,10416,3000000,7888703,7888703,8,73,46
"Tre scapoli e un bebè","3 Men and a Baby",1987,3,102,2,1,6,46737,11000000,167780960,167780960,61,57,26
"L'ora della rivincita","Three O'Clock High",1987,1,97,1,1,7.2,10711,6000000,3685862,3685862,36,108,74
"Getta la mamma dal treno","Throw Momma from the Train",1987,3,88,1,1,6.3,32873,14000000,57915972,57915972,56,87,39
"Tin Men - 2 imbroglioni con signora","Tin Men",1987,2,112,1,1,6.6,7742,11000000,25411386,25411386,75,48,26
"The Untouchables - Gli intoccabili","The Untouchables",1987,3,119,1,1,7.9,272868,25000000,76270454,76270454,79,503,140
"Wall Street","Wall Street",1987,2,126,1,1,7.4,140858,15000000,43848069,43848069,56,237,118
"Who's That Girl","Who's That Girl",1987,3,92,1,1,4.8,9315,17000000,7305209,7305209,27,75,20
"Le streghe di Eastwick","The Witches of Eastwick",1987,3,118,1,1,6.5,60564,22000000,63766510,63766510,67,133,65
"Nico","Above the Law",1988,3,99,1,3,6,28084,7500000,18869631,18869631,45,112,50
"Sotto accusa","The Accused",1988,2,111,2,1,7.1,31000,6000000,32078318,32078318,65,110,36
"Action Jackson","Action Jackson",1988,3,96,1,1,5.5,9888,7000000,20256975,20256975,36,78,51
"Alien nation","Alien Nation",1988,2,91,1,1,6.3,13898,16000000,25216243,32155047,45,60,52
"Spiagge","Beaches",1988,3,123,1,1,7,22834,20000000,57041866,57041866,46,120,38
"Beetlejuice - Spiritello porcello","Beetlejuice",1988,2,92,1,1,7.5,251894,15000000,74220408,74270074,70,374,108
"Big","Big",1988,3,104,1,2,7.3,193630,18000000,115227281,151927281,73,243,100
"Frenesie... militari","Biloxi Blues",1988,2,106,1,1,6.6,14048,20000000,43184798,51684798,61,48,29
"Bird","Bird",1988,3,161,1,1,7.2,11174,9000000,2181286,2181286,78,40,31
"Bull Durham - Un gioco a tre mani","Bull Durham",1988,3,108,1,1,7.1,46819,7000000,50888729,50888729,73,137,87
"Due palle in buca","Caddyshack II",1988,2,98,1,1,3.8,14469,20000000,11798302,11798302,7,89,11
"La bambola assassina","Child's Play",1988,3,87,1,1,6.6,85277,9000000,33244684,44196684,58,351,125
"Cocktail","Cocktail",1988,3,104,2,2,5.9,77870,20000000,78222753,171504781,12,130,60
"Cocoon - Il ritorno","Cocoon: The Return",1988,3,116,1,1,5.5,15118,17500000,18924919,25024919,45,32,14
"Colors - colori di guerra","Colors",1988,3,120,1,2,6.8,23745,6000000,46616067,46616067,66,76,44
"Il principe cerca moglie","Coming to America",1988,2,116,1,1,7,160374,39000000,128152301,288752301,47,177,69
"Critters 2","Critters 2",1988,3,86,1,1,5.5,13541,4500000,3813293,3813293,48,66,52
"Le relazioni pericolose","Dangerous Liaisons",1988,2,119,2,1,7.6,63354,14000000,34670720,34670720,74,158,59
"Scommessa con la morte","The Dead Pool",1988,3,91,1,1,6.3,39772,31000000,37903295,37903295,46,146,54
"Inseparabili","Dead Ringers",1988,3,116,1,1,7.3,40003,13000000,8038508,8038508,86,144,104
"Trappola di cristallo","Die Hard",1988,2,132,1,4,8.2,767893,28000000,83519093,141482154,72,925,295
"Otto uomini fuori","Eight Men Out",1988,3,119,1,1,7.2,18352,6000000,5680515,5680515,71,95,45
"Una strega chiamata Elvira","Elvira: Mistress of the Dark",1988,2,96,1,1,6.6,13044,7500000,5596267,5596267,43,87,78
"Ernesto salva il Natale","Ernest Saves Christmas",1988,3,95,1,1,5.7,9803,6000000,28202109,28202109,44,50,22
"Un pesce di nome Wanda","A Fish Called Wanda",1988,2,108,2,4,7.5,129476,7500000,62493712,62493712,80,228,122
"Frantic","Frantic",1988,3,120,2,2,6.9,48334,20000000,17637950,17637950,66,167,61
"Venerdì 13: parte VII - Il sangue scorre di nuovo","Friday the 13th Part VII: The New Blood",1988,2,88,1,1,5.3,31461,2800000,19170001,19170001,13,305,147
"L'allegra fattoria","Funny Farm",1988,1,101,1,1,6.2,19155,19000000,25537221,25537221,50,85,26
"Non è stata una vacanza... è stata una guerra","The Great Outdoors",1988,1,91,1,1,6.7,38513,24000000,41455230,43455230,24,109,25
"Grasso è bello","Hairspray",1988,3,92,1,1,6.9,19438,2000000,6671108,6671108,77,66,54
"Halloween 4 - Il ritorno di Michael Myers","Halloween 4: The Return of Michael Myers",1988,2,88,1,1,5.9,42355,5000000,17768757,17768757,34,425,165
"Hellbound: Hellraiser II - Prigionieri dell'inferno","Hellbound: Hellraiser II",1988,2,97,1,1,6.5,40753,3000000,12090735,12090735,41,195,159
"High Spirits - Fantasmi da legare","High Spirits",1988,2,99,3,1,5.8,8421,17000000,8578231,8578231,47,60,36
"Una tomba per le lucciole","Hotaru no haka",1988,3,89,1,1,8.5,225438,3700000,516962,516962,94,738,128
"Scappa, scappa... poi ti prendo!","I'm Gonna Git You Sucka",1988,3,88,1,1,6.6,12073,3000000,13030057,13030057,48,60,33
"La grande promessa","Johnny Be Good",1988,2,91,1,1,4.6,6020,22000000,17550399,17550399,10,38,13
"Scarlatti - Il thriller","Lady in White",1988,3,113,1,4,6.7,6096,4700000,1705139,1705139,70,92,177
"La tana del serpente bianco","The Lair of the White Worm",1988,2,93,1,1,5.9,9808,2500000,1189315,1189315,61,80,99
"Alla ricerca della valle incantata","The Land Before Time",1988,3,69,2,1,7.4,78406,12500000,48092846,84576957,66,166,32
"L'ultima tentazione di Cristo","The Last Temptation of Christ",1988,1,164,2,1,7.5,51031,7000000,8373585,8865702,80,333,129
"Licenza di guida","License to Drive",1988,1,88,1,1,6.4,17846,8000000,22433275,22433275,36,69,35
"Poliziotto sadico","Maniac Cop",1988,3,85,1,1,6,13621,1100000,671382,671382,40,115,205
"Una vedova allegra... ma non troppo","Married to the Mob",1988,3,104,1,1,6.2,15755,10000000,21486757,21486757,71,58,39
"Prima di mezzanotte","Midnight Run",1988,3,126,1,1,7.5,73433,30000000,38413606,81613606,78,265,89
"Mississippi Burning - Le radici dell'odio","Mississippi Burning",1988,3,128,1,1,7.8,85805,15000000,34603943,34603943,65,209,64
"Monkey Shines - Esperimento nel terrore","Monkey Shines",1988,3,113,1,1,6.2,10400,7000000,5344577,5344577,71,76,70
"Donne sull'orlo di una crisi di nervi","Mujeres al borde de un ataque de ""nervios""",1988,2,88,1,1,7.6,34796,700000,7251740,7262580,85,77,58
"Mystic Pizza","Mystic Pizza",1988,3,104,1,1,6.3,24303,6000000,12793213,12793213,60,83,29
"Una pallottola spuntata","The Naked Gun: From the Files of Police Squad!",1988,2,85,1,1,7.6,148550,12000000,78756177,78756177,76,227,98
"Nightmare 4 - Il non risveglio","A Nightmare on Elm Street 4: The Dream Master",1988,1,93,1,1,5.7,48709,13000000,49369899,49369899,56,299,132
"Nuovo Cinema Paradiso","Nuovo Cinema Paradiso",1988,1,155,2,1,8.5,223050,5000000,12397210,13826605,80,514,117
"Oliver & Company","Oliver & Company",1988,3,74,1,1,6.7,42706,31000000,74151346,74151346,58,106,76
"Phantasm II","Phantasm II",1988,3,97,1,1,6.5,12989,3000000,7282851,7282851,42,108,114
"Poltergeist III","Poltergeist III",1988,2,98,1,1,4.7,16524,10500000,14114488,14114488,40,127,79
"Prison","Prison",1987,3,102,1,1,5.8,3778,4000000,345704,345704,47,43,81
"Pumpkinhead","Pumpkinhead",1988,2,86,1,1,6.2,19632,3500000,4385516,4385516,47,182,114
"L'ultima battuta","Punchline",1988,3,128,1,3,5.9,7878,15000000,21042667,21042667,52,33,22
"Rain Man - L'uomo della pioggia","Rain Man",1988,1,133,1,2,8,465105,25000000,172825435,354825435,65,442,98
"Rambo III","Rambo III",1988,2,102,1,2,5.8,119641,63000000,53715611,189015611,36,231,120
"Danko","Red Heat",1988,3,104,1,3,6.1,63168,29000000,34994648,34994648,61,118,75
"Il ritorno dei morti viventi 2","Return of the Living Dead: Part II",1988,3,89,1,1,5.9,17902,6200000,9205924,9205924,45,127,82
"Vivere in fuga","Running on Empty",1988,3,116,1,1,7.7,13666,7000000,2835116,2847941,67,102,47
"School Daze","School Daze",1988,3,121,1,1,6,6271,6500000,14545844,14545844,52,43,24
"S.O.S. fantasmi","Scrooged",1988,3,101,1,1,7,83168,32000000,60328558,60328558,38,195,122
"Il serpente e l'arcobaleno","The Serpent and the Rainbow",1988,2,98,1,3,6.5,21560,7000000,19595031,19595031,64,99,121
"Un amore rinnovato","She's Having a Baby",1988,3,106,1,1,5.9,11156,20000000,16031707,16031707,41,51,20
"Talk Radio","Talk Radio",1988,1,110,2,1,7.3,12299,4000000,3468572,3468572,66,88,45
"Tequila Connection","Tequila Sunrise",1988,3,115,1,2,6.1,28237,23000000,41292551,41292551,62,92,39
"Essi vivono","They Live",1988,3,94,1,1,7.3,106618,4000000,13008928,13008928,55,409,209
"Il mio vicino Totoro","Tonari no Totoro",1988,3,86,1,1,8.2,278361,3700000,2250213,30476970,86,474,134
"Tucker - Un uomo e il suo sogno","Tucker: The Man and His Dream",1988,2,110,1,1,6.9,16241,23000000,19652638,19652638,74,74,40
"I gemelli","Twins",1988,2,107,1,1,6.1,111813,15000000,111938388,216614388,53,109,40
"L'insostenibile leggerezza dell'essere","The Unbearable Lightness of Being",1988,2,171,2,1,7.3,33209,17000000,10006806,10006806,73,138,59
"Chi ha incastrato Roger Rabbit","Who Framed Roger Rabbit",1988,3,104,1,1,7.7,178487,70000000,156452370,329803958,83,287,144
"Willow","Willow",1988,3,126,1,1,7.3,98910,35000000,57269863,57269863,47,262,114
"Una donna in carriera","Working Girl",1988,3,113,1,1,6.8,50560,28000000,63779477,102956984,73,147,52
